text,label
"Keluhan utama: ruam kulit, jerawat bernanah, komedo, luka gores",Jerawat
"Pasien mengeluh lemas, berat badan turun, lesu, kadar gula tidak teratur, penglihatan kabur, obesitas, rasa lapar berlebihan, nafsu makan meningkat dan sering buang air kecil",Diabetes
Gejala yang dialami: bersin terus menerus serta menggigil,Alergi
"Badan terasa bersin terus menerus disertai menggigil, mata berair",Alergi
"Dok, saya merasa tidak nyaman di kandung kemih dan rasa ingin pipis terus",Infeksi Saluran Kemih
"Keluhan utama: demam tinggi, melepuh, luka merah di sekitar hidung, cairan kuning mengeras",Impetigo
Gejala yang dialami: itching serta sakit perut,Reaksi Obat/Alergi
"Saya mengalami ruam kulit, demam tinggi, melepuh, luka merah di sekitar hidung, cairan kuning mengeras",Impetigo
"Badan terasa nyeri sendi disertai muntah, kulit menguning, urine berwarna gelap, mual, sakit perut, diare, demam ringan, mata menguning, nyeri otot",hepatitis A
"Saya mengalami itching, muntah, lemas, demam tinggi, kulit menguning, urine berwarna gelap, sakit perut",Penyakit Kuning
"Badan terasa ruam kulit disertai jerawat bernanah, komedo, luka gores",Jerawat
"Dok, saya merasa nyeri sendi dan pendarahan lambung",Hepatitis E
"Saya mengalami menggigil, lemas, batuk, demam tinggi, sesak napas, berkeringat, tidak enak badan, dahak, sakit dada, detak jantung cepat, dahak berwarna karat",Pneumonia (Radang Paru)
"Saya mengalami muntah, kulit menguning, sakit perut, perut membengkak, perut kembung, kelebihan cairan",Hepatitis Alkoholik
"Badan terasa itching disertai lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
"Keluhan utama: lemas, kulit menguning, hilang nafsu makan, mata menguning, riwayat keluarga",Hepatitis C
"Keluhan utama: lemas, perubahan suasana hati, berat badan turun, gelisah, berkeringat, diare, rasa lapar berlebihan, lemah otot, mudah marah, haid tidak normal",Hipertiroid
"Badan terasa lemas disertai kram, memar, obesitas, kaki bengkak, urat menonjol di betis",Varises
"Pasien mengeluh menggigil, muntah, lemas, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, wajah pucat sakit dan sakit perut",Tifush (Demam Tifoid)
"Saya mengalami sakit perut, asam lambung naik, sariawan di lidah, muntah, batuk, sakit dada",GERD (Asam Lambung)
"Pasien mengeluh menggigil, muntah, lemas, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada dan batuk berdarah",TBC (Tuberkulosis)
"Dok, saya merasa ruam kulit dan cairan kuning mengeras",Impetigo
Gejala yang dialami: menggigil serta muntah,TBC (Tuberkulosis)
"Saya mengalami itching, ruam kulit, sakit perut, rasa terbakar saat buang air kecil, spotting  urination",Reaksi Obat/Alergi
"Keluhan utama: menggigil, lemas, batuk, demam tinggi, sesak napas, berkeringat, tidak enak badan, dahak, sakit dada, detak jantung cepat, dahak berwarna karat",Pneumonia (Radang Paru)
"Dok, saya merasa pengecilan otot dan kontak seksual berisiko",HIV/AIDS
"Saya mengalami itching, lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
"Pasien mengeluh nyeri sendi, muntah, lemas, demam tinggi, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning, gagal hati akut, koma dan pendarahan lambung",Hepatitis E
"Badan terasa bercak di tenggorokan disertai demam tinggi, kontak seksual berisiko",HIV/AIDS
"Pasien mengeluh lemas, berat badan naik, tangan dan kaki dingin, perubahan suasana hati, lesu, pusing, wajah dan mata bengkak, pembesaran tiroid, kuku rapuh, swollen extremeties, depresi, mudah marah dan haid tidak normal",Hipotiroid
"Pasien mengeluh itching, ruam kulit, lemas, lesu, demam tinggi, sakit kepala, hilang nafsu makan, demam ringan, kelenjar getah bening bengkak, tidak enak badan dan bintik merah di seluruh tubuh",Cacar Air
"Keluhan utama: nyeri sendi, muntah, lemas, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning",Hepatitis D
"Saya mengalami menggigil, muntah, lemas, demam tinggi, sakit kepala, mual, sembelit, diare, wajah pucat sakit, sakit perut",Tifush (Demam Tifoid)
"Dok, saya merasa pengecilan otot dan kontak seksual berisiko",HIV/AIDS
"Badan terasa sakit punggung disertai lemah anggota gerak, sakit leher, pusing, hilang keseimbangan",Saraf Leher Terjepit
"Dok, saya merasa sakit kepala dan sulit berkonsentrasi",Hypertension
"Saya mengalami sakit perut, asam lambung naik, sariawan di lidah, batuk, sakit dada",GERD (Asam Lambung)
"Dok, saya merasa muntah dan sakit dada",Serangan Jantung
Gejala yang dialami: muntah serta gangguan pencernaan,Gastritis (Maag)
"Pasien mengeluh demam tinggi, melepuh, luka merah di sekitar hidung dan cairan kuning mengeras",Impetigo
Gejala yang dialami: ruam kulit serta demam tinggi,Impetigo
"Dok, saya merasa nyeri sendi dan sakit saat berjalan",Osteoartritis
"Pasien mengeluh sakit punggung, lemah anggota gerak, pusing dan hilang keseimbangan",Saraf Leher Terjepit
"Keluhan utama: nyeri sendi, muntah, lemas, demam tinggi, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning, gagal hati akut, koma, pendarahan lambung",Hepatitis E
"Keluhan utama: menggigil, batuk, demam tinggi, sesak napas, berkeringat, tidak enak badan, dahak, sakit dada, detak jantung cepat, dahak berwarna karat",Pneumonia (Radang Paru)
"Badan terasa itching disertai muntah, mual, hilang nafsu makan, sakit perut, mata menguning",Kolestasis Kronis
"Keluhan utama: sakit kepala, sakit dada, pusing, hilang keseimbangan, sulit berkonsentrasi",Hypertension
Gejala yang dialami: nyeri sendi serta muntah,hepatitis A
"Pasien mengeluh menggigil, lemas, batuk, demam tinggi, sakit kepala, kelenjar getah bening bengkak, tidak enak badan, dahak, iritasi tenggorokan, mata merah, tekanan sinus, hidung meler, hidung tersumbat, sakit dada, hilang penciuman dan nyeri otot",ISPA/Influenza
"Dok, saya merasa lemas dan sering buang air kecil",Diabetes
Gejala yang dialami: muntah serta mual,Vertigo
"Keluhan utama: muntah, lemas, cemas, sakit kepala, mual, penglihatan kabur, rasa lapar berlebihan, bibir kering dan kesemutan, bicara pelat, mudah marah, jantung berdebar",Hipoglikemia (Gula Darah Rendah)
Gejala yang dialami: muntah serta sesak napas,Serangan Jantung
"Keluhan utama: sakit punggung, lemah anggota gerak, sakit leher, pusing, hilang keseimbangan",Saraf Leher Terjepit
"Dok, saya merasa sembelit dan iritasi di anus",Wasir/Ambeien
"Dok, saya merasa muntah dan kesadaran berubah",Kelumpuhan (Pendarahan Otak)
"Saya mengalami sembelit, sakit saat buang air besar, sakit di daerah anus, buang air besar berdarah, iritasi di anus",Wasir/Ambeien
"Keluhan utama: muntah, lemas, cemas, berkeringat, sakit kepala, mual, penglihatan kabur, rasa lapar berlebihan, bibir kering dan kesemutan, bicara pelat, mudah marah, jantung berdebar",Hipoglikemia (Gula Darah Rendah)
"Dok, saya merasa lemas dan haid tidak normal",Hipotiroid
"Pasien mengeluh sakit punggung, lemah anggota gerak, sakit leher, pusing dan hilang keseimbangan",Saraf Leher Terjepit
"Badan terasa sakit perut disertai asam lambung naik, sariawan di lidah, muntah, batuk, sakit dada",GERD (Asam Lambung)
Gejala yang dialami: ruam kulit serta menggigil,Demam Berdarah Dengue (DBD)
"Pasien mengeluh menggigil, muntah, demam tinggi, berkeringat, sakit kepala, mual, diare dan nyeri otot",Malaria
"Keluhan utama: asam lambung naik, gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, depresi, mudah marah, gangguan pengelihatan",Migrain
Gejala yang dialami: muntah serta lemas,Hipoglikemia (Gula Darah Rendah)
"Keluhan utama: muntah, sakit kepala, kesadaran berubah",Kelumpuhan (Pendarahan Otak)
Gejala yang dialami: ruam kulit serta demam tinggi,Impetigo
Gejala yang dialami: ruam kulit serta demam tinggi,Impetigo
"Badan terasa nyeri sendi disertai muntah, lemas, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning",Hepatitis D
"Badan terasa lemas disertai berat badan turun, gelisah, lesu, kadar gula tidak teratur, penglihatan kabur, obesitas, rasa lapar berlebihan, nafsu makan meningkat, sering buang air kecil",Diabetes
Gejala yang dialami: lemas serta perubahan suasana hati,Hipertiroid
"Saya mengalami sakit dada, pusing, hilang keseimbangan, sulit berkonsentrasi",Hypertension
"Keluhan utama: muntah, mata cekung, dehidrasi, diare",Gastroenteritis (Muntaber)
"Badan terasa lemas disertai berat badan turun, gelisah, lesu, kadar gula tidak teratur, penglihatan kabur, obesitas, rasa lapar berlebihan, nafsu makan meningkat, sering buang air kecil",Diabetes
"Keluhan utama: asam lambung naik, gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, depresi, mudah marah, gangguan pengelihatan",Migrain
"Keluhan utama: pengecilan otot, bercak di tenggorokan, demam tinggi, kontak seksual berisiko",HIV/AIDS
Gejala yang dialami: nyeri sendi serta muntah,Hepatitis D
"Dok, saya merasa asam lambung naik dan gangguan pengelihatan",Migrain
"Badan terasa menggigil disertai muntah, lemas, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada, batuk berdarah",TBC (Tuberkulosis)
Gejala yang dialami: muntah serta sesak napas,Serangan Jantung
"Dok, saya merasa nyeri sendi dan mata menguning",Hepatitis D
"Keluhan utama: lemah anggota gerak, sakit leher, pusing, hilang keseimbangan",Saraf Leher Terjepit
Gejala yang dialami: sembelit serta sakit saat buang air besar,Wasir/Ambeien
"Badan terasa itching disertai ruam kulit, lemas, lesu, demam tinggi, sakit kepala, demam ringan, kelenjar getah bening bengkak, tidak enak badan, bintik merah di seluruh tubuh",Cacar Air
Gejala yang dialami: muntah serta lemah satu sisi tubuh,Kelumpuhan (Pendarahan Otak)
Gejala yang dialami: nyeri sendi serta muntah,Hepatitis E
Gejala yang dialami: menggigil serta muntah,Malaria
"Badan terasa lemas disertai perubahan suasana hati, berat badan turun, gelisah, berkeringat, diare, detak jantung cepat, rasa lapar berlebihan, lemah otot, mudah marah, haid tidak normal",Hipertiroid
"Pasien mengeluh sakit kepala, lemah satu sisi tubuh dan kesadaran berubah",Kelumpuhan (Pendarahan Otak)
"Pasien mengeluh nyeri sendi, sakit leher, sakit lutut, nyeri sendi panggul dan sakit saat berjalan",Osteoartritis
"Badan terasa bersin terus menerus disertai menggigil, lemas, batuk, demam tinggi, sakit kepala, kelenjar getah bening bengkak, tidak enak badan, dahak, iritasi tenggorokan, mata merah, tekanan sinus, hidung meler, hidung tersumbat, sakit dada, hilang penciuman, nyeri otot",ISPA/Influenza
Gejala yang dialami: nyeri sendi serta kulit menguning,hepatitis A
"Pasien mengeluh menggigil, muntah, lemas, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada dan batuk berdarah",TBC (Tuberkulosis)
"Badan terasa lemas disertai batuk, demam tinggi, sesak napas, berkeringat, tidak enak badan, dahak, sakit dada, detak jantung cepat, dahak berwarna karat",Pneumonia (Radang Paru)
"Pasien mengeluh sakit kepala, sakit dada, pusing, hilang keseimbangan dan sulit berkonsentrasi",Hypertension
"Badan terasa menggigil disertai muntah, lemas, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada, batuk berdarah",TBC (Tuberkulosis)
"Keluhan utama: muntah, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, diare, demam ringan, mata menguning, nyeri otot",hepatitis A
"Saya mengalami rasa terbakar saat buang air kecil, tidak nyaman di kandung kemih, bau urine menyengat, rasa ingin pipis terus",Infeksi Saluran Kemih
"Pasien mengeluh nyeri sendi, sakit leher, sakit lutut, nyeri sendi panggul, sendi bengkak dan sakit saat berjalan",Osteoartritis
"Keluhan utama: itching, ruam kulit, benjolan merah di kulit, dischromic  patches",Infeksi Jamur
"Pasien mengeluh lemas, berat badan naik, tangan dan kaki dingin, perubahan suasana hati, lesu, wajah dan mata bengkak, pembesaran tiroid, kuku rapuh, swollen extremeties, depresi, mudah marah dan haid tidak normal",Hipotiroid
"Saya mengalami lemas, berat badan turun, gelisah, berkeringat, diare, detak jantung cepat, rasa lapar berlebihan, lemah otot, mudah marah, haid tidak normal",Hipertiroid
"Badan terasa menggigil disertai lemas, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada, batuk berdarah",TBC (Tuberkulosis)
"Dok, saya merasa menggigil dan dahak berwarna karat",Pneumonia (Radang Paru)
"Dok, saya merasa lemas dan riwayat keluarga",Asma Bronkial
"Pasien mengeluh muntah, sakit kepala, berputar-putar, hilang keseimbangan dan tidak stabil",Vertigo
Gejala yang dialami: muntah serta kulit menguning,Hepatitis Alkoholik
"Saya mengalami lemas, kram, memar, obesitas, kaki bengkak, pembuluh darah bengkak, urat menonjol di betis",Varises
"Dok, saya merasa nyeri sendi dan nyeri otot",hepatitis A
Gejala yang dialami: menggigil serta muntah,Malaria
"Badan terasa nyeri sendi disertai muntah, kulit menguning, mual, hilang nafsu makan, sakit perut, diare, demam ringan, mata menguning, nyeri otot",hepatitis A
"Dok, saya merasa sakit punggung dan hilang keseimbangan",Saraf Leher Terjepit
"Badan terasa menggigil disertai muntah, demam tinggi, berkeringat, mual, diare, nyeri otot",Malaria
"Saya mengalami itching, ruam kulit, benjolan merah di kulit, dischromic  patches",Infeksi Jamur
"Pasien mengeluh muntah, sesak napas, berkeringat dan sakit dada",Serangan Jantung
"Badan terasa muntah disertai sakit kepala, lemah satu sisi tubuh, kesadaran berubah",Kelumpuhan (Pendarahan Otak)
Gejala yang dialami: itching serta lemas,Hepatitis B
"Badan terasa muntah disertai sakit kepala, mual, berputar-putar, hilang keseimbangan, tidak stabil",Vertigo
"Pasien mengeluh nyeri sendi, muntah, lemas, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut dan mata menguning",Hepatitis D
"Dok, saya merasa muntah dan sakit dada",Serangan Jantung
"Saya mengalami nyeri sendi, muntah, lemas, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning",Hepatitis D
"Badan terasa pengecilan otot disertai bercak di tenggorokan, demam tinggi, kontak seksual berisiko",HIV/AIDS
"Pasien mengeluh rasa terbakar saat buang air kecil, tidak nyaman di kandung kemih, bau urine menyengat dan rasa ingin pipis terus",Infeksi Saluran Kemih
"Saya mengalami sakit perut, sariawan di lidah, muntah, batuk, sakit dada",GERD (Asam Lambung)
"Dok, saya merasa sakit kepala dan sulit berkonsentrasi",Hypertension
Gejala yang dialami: muntah serta mata cekung,Gastroenteritis (Muntaber)
"Saya mengalami sakit punggung, sakit leher, pusing, hilang keseimbangan",Saraf Leher Terjepit
"Badan terasa muntah disertai sakit kepala, lemah satu sisi tubuh, kesadaran berubah",Kelumpuhan (Pendarahan Otak)
"Keluhan utama: muntah, sakit kepala, lemah satu sisi tubuh, kesadaran berubah",Kelumpuhan (Pendarahan Otak)
"Badan terasa lemah otot disertai leher kaku, sendi bengkak, sakit saat berjalan",Radang Sendi
"Pasien mengeluh bersin terus menerus, menggigil dan mata berair",Alergi
"Pasien mengeluh leher kaku, sendi bengkak, kaku saat bergerak dan sakit saat berjalan",Radang Sendi
Gejala yang dialami: rasa terbakar saat buang air kecil serta tidak nyaman di kandung kemih,Infeksi Saluran Kemih
"Dok, saya merasa nyeri sendi dan nyeri otot",hepatitis A
"Dok, saya merasa ruam kulit dan luka gores",Jerawat
"Dok, saya merasa rasa terbakar saat buang air kecil dan rasa ingin pipis terus",Infeksi Saluran Kemih
"Keluhan utama: menggigil, muntah, demam tinggi, berkeringat, sakit kepala, mual, diare, nyeri otot",Malaria
"Dok, saya merasa lemah otot dan sakit saat berjalan",Radang Sendi
"Keluhan utama: muntah, kulit menguning, sakit perut, perut membengkak, perut kembung, riwayat konsumsi alkohol, kelebihan cairan",Hepatitis Alkoholik
"Badan terasa sembelit disertai sakit saat buang air besar, sakit di daerah anus, buang air besar berdarah, iritasi di anus",Wasir/Ambeien
"Keluhan utama: lemas, berat badan naik, tangan dan kaki dingin, perubahan suasana hati, lesu, pusing, wajah dan mata bengkak, pembesaran tiroid, kuku rapuh, swollen extremeties, depresi, mudah marah, haid tidak normal",Hipotiroid
"Pasien mengeluh nyeri sendi, muntah, lemas, urine berwarna gelap, mual, hilang nafsu makan, sakit perut dan mata menguning",Hepatitis D
"Keluhan utama: ruam kulit, menggigil, nyeri sendi, muntah, demam tinggi, sakit kepala, mual, hilang nafsu makan, sakit di belakang mata, sakit punggung, tidak enak badan, nyeri otot, bintik merah di seluruh tubuh",Demam Berdarah Dengue (DBD)
"Saya mengalami sakit perut, asam lambung naik, sariawan di lidah, muntah, batuk",GERD (Asam Lambung)
"Dok, saya merasa itching dan sakit perut",Penyakit Kuning
"Badan terasa nyeri sendi disertai muntah, lemas, demam tinggi, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning, gagal hati akut, koma, pendarahan lambung",Hepatitis E
Gejala yang dialami: menggigil serta muntah,Tifush (Demam Tifoid)
"Saya mengalami lemah otot, leher kaku, sendi bengkak, kaku saat bergerak, sakit saat berjalan",Radang Sendi
Gejala yang dialami: menggigil serta muntah,TBC (Tuberkulosis)
Gejala yang dialami: sakit punggung serta lemah anggota gerak,Saraf Leher Terjepit
"Saya mengalami rasa terbakar saat buang air kecil, tidak nyaman di kandung kemih, rasa ingin pipis terus",Infeksi Saluran Kemih
"Badan terasa asam lambung naik disertai gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, depresi, mudah marah, gangguan pengelihatan",Migrain
"Saya mengalami menggigil, lemas, batuk, demam tinggi, berkeringat, tidak enak badan, dahak, sakit dada, detak jantung cepat, dahak berwarna karat",Pneumonia (Radang Paru)
"Saya mengalami ruam kulit, nyeri sendi, muntah, lemas, demam tinggi, sakit kepala, mual, hilang nafsu makan, sakit di belakang mata, sakit punggung, tidak enak badan, nyeri otot, bintik merah di seluruh tubuh",Demam Berdarah Dengue (DBD)
"Badan terasa batuk disertai demam tinggi, sesak napas, riwayat keluarga, dahak berlendir",Asma Bronkial
"Badan terasa menggigil disertai muntah, lemas, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada, batuk berdarah",TBC (Tuberkulosis)
Gejala yang dialami: ruam kulit serta sakit perut,Reaksi Obat/Alergi
"Saya mengalami menggigil, lemas, batuk, demam tinggi, sesak napas, berkeringat, tidak enak badan, dahak, sakit dada, detak jantung cepat, dahak berwarna karat",Pneumonia (Radang Paru)
"Pasien mengeluh rasa terbakar saat buang air kecil, tidak nyaman di kandung kemih, bau urine menyengat dan rasa ingin pipis terus",Infeksi Saluran Kemih
"Badan terasa menggigil disertai muntah, lemas, demam tinggi, sakit kepala, sembelit, sakit perut, diare, wajah pucat sakit, sakit perut",Tifush (Demam Tifoid)
"Dok, saya merasa nyeri sendi dan pendarahan lambung",Hepatitis E
"Dok, saya merasa nyeri sendi dan nyeri otot",hepatitis A
"Saya mengalami ruam kulit, nyeri sendi, kulit mengelupas, sisik perak, lekukan kecil di kuku, kuku meradang",Psoriasis
"Badan terasa muntah disertai sesak napas, berkeringat",Serangan Jantung
"Pasien mengeluh sakit perut, asam lambung naik, muntah, batuk dan sakit dada",GERD (Asam Lambung)
Gejala yang dialami: nyeri sendi serta sakit lutut,Osteoartritis
"Saya mengalami itching, lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
Gejala yang dialami: itching serta ruam kulit,Reaksi Obat/Alergi
"Badan terasa muntah disertai sesak napas, berkeringat, sakit dada",Serangan Jantung
"Saya mengalami lemas, batuk, demam tinggi, sesak napas, riwayat keluarga, dahak berlendir",Asma Bronkial
"Saya mengalami sakit perut, asam lambung naik, sariawan di lidah, muntah, batuk, sakit dada",GERD (Asam Lambung)
"Pasien mengeluh sakit perut, asam lambung naik, sariawan di lidah, muntah, batuk dan sakit dada",GERD (Asam Lambung)
"Dok, saya merasa lemah otot dan sakit saat berjalan",Radang Sendi
"Pasien mengeluh lemah otot, leher kaku, sendi bengkak, kaku saat bergerak dan sakit saat berjalan",Radang Sendi
"Saya mengalami sakit kepala, sakit dada, pusing, hilang keseimbangan, sulit berkonsentrasi",Hypertension
Gejala yang dialami: ruam kulit serta lemas,Cacar Air
Gejala yang dialami: lemas serta kulit menguning,Hepatitis C
"Dok, saya merasa bersin terus menerus dan nyeri otot",ISPA/Influenza
"Dok, saya merasa menggigil dan batuk berdarah",TBC (Tuberkulosis)
"Pasien mengeluh nyeri sendi, sakit leher, sakit lutut, nyeri sendi panggul, sendi bengkak dan sakit saat berjalan",Osteoartritis
Gejala yang dialami: ruam kulit serta demam tinggi,Impetigo
"Saya mengalami muntah, kulit menguning, sakit perut, perut membengkak, perut kembung, riwayat konsumsi alkohol, kelebihan cairan",Hepatitis Alkoholik
"Keluhan utama: lemas, kulit menguning, mual, hilang nafsu makan, mata menguning, riwayat keluarga",Hepatitis C
"Dok, saya merasa asam lambung naik dan gangguan pengelihatan",Migrain
"Keluhan utama: menggigil, lemas, batuk, demam tinggi, sesak napas, berkeringat, tidak enak badan, dahak, sakit dada, detak jantung cepat, dahak berwarna karat",Pneumonia (Radang Paru)
"Keluhan utama: menggigil, muntah, lemas, berat badan turun, batuk, demam tinggi, sesak napas, berkeringat, hilang nafsu makan, demam ringan, mata menguning, kelenjar getah bening bengkak, tidak enak badan, dahak, sakit dada, batuk berdarah",TBC (Tuberkulosis)
"Badan terasa lemas disertai gelisah, lesu, kadar gula tidak teratur, penglihatan kabur, obesitas, rasa lapar berlebihan, nafsu makan meningkat, sering buang air kecil",Diabetes
"Saya mengalami pengecilan otot, bercak di tenggorokan, demam tinggi, kontak seksual berisiko",HIV/AIDS
"Badan terasa nyeri sendi disertai sakit leher, sakit lutut, nyeri sendi panggul, sendi bengkak, sakit saat berjalan",Osteoartritis
Gejala yang dialami: itching serta ruam kulit,Infeksi Jamur
Gejala yang dialami: lemah otot serta leher kaku,Radang Sendi
Gejala yang dialami: lemas serta berat badan naik,Hipotiroid
"Badan terasa menggigil disertai muntah, lemas, demam tinggi, sakit kepala, mual, sembelit, sakit perut, diare, wajah pucat sakit, sakit perut",Tifush (Demam Tifoid)
"Pasien mengeluh itching, ruam kulit dan benjolan merah di kulit",Infeksi Jamur
"Dok, saya merasa lemas dan pembuluh darah bengkak",Varises
"Dok, saya merasa sakit perut dan sakit dada",GERD (Asam Lambung)
"Keluhan utama: lemas, kram, memar, obesitas, kaki bengkak, pembuluh darah bengkak",Varises
"Pasien mengeluh itching, lemas, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah dan menerima suntikan tidak steril",Hepatitis B
"Pasien mengeluh muntah, sakit kepala, mual, berputar-putar dan tidak stabil",Vertigo
Gejala yang dialami: itching serta lemas,Hepatitis B
"Badan terasa sakit kepala disertai sakit dada, pusing, hilang keseimbangan, sulit berkonsentrasi",Hypertension
"Dok, saya merasa muntah dan jantung berdebar",Hipoglikemia (Gula Darah Rendah)
"Pasien mengeluh asam lambung naik, gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, depresi, mudah marah dan gangguan pengelihatan",Migrain
"Dok, saya merasa sakit kepala dan sulit berkonsentrasi",Hypertension
"Dok, saya merasa muntah dan diare",Gastroenteritis (Muntaber)
"Saya mengalami bersin terus menerus, menggigil, menggigil, mata berair",Alergi
"Pasien mengeluh nyeri sendi, muntah, lemas, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut dan mata menguning",Hepatitis D
"Pasien mengeluh lemas, perubahan suasana hati, berat badan turun, gelisah, berkeringat, diare, detak jantung cepat, rasa lapar berlebihan, lemah otot, mudah marah dan haid tidak normal",Hipertiroid
"Keluhan utama: sembelit, sakit saat buang air besar, sakit di daerah anus, buang air besar berdarah, iritasi di anus",Wasir/Ambeien
"Saya mengalami ruam kulit, jerawat bernanah, komedo, luka gores",Jerawat
"Pasien mengeluh rasa terbakar saat buang air kecil, tidak nyaman di kandung kemih, bau urine menyengat dan rasa ingin pipis terus",Infeksi Saluran Kemih
"Pasien mengeluh sakit perut, asam lambung naik, muntah, batuk dan sakit dada",GERD (Asam Lambung)
"Badan terasa muntah disertai kulit menguning, sakit perut, perut membengkak, perut kembung, riwayat konsumsi alkohol, kelebihan cairan",Hepatitis Alkoholik
"Keluhan utama: lemas, berat badan turun, gelisah, lesu, penglihatan kabur, obesitas, rasa lapar berlebihan, nafsu makan meningkat, sering buang air kecil",Diabetes
"Pasien mengeluh itching, ruam kulit, benjolan merah di kulit dan dischromic  patches",Infeksi Jamur
"Keluhan utama: ruam kulit, menggigil, nyeri sendi, muntah, lemas, demam tinggi, sakit kepala, mual, hilang nafsu makan, sakit di belakang mata, sakit punggung, tidak enak badan, nyeri otot, bintik merah di seluruh tubuh",Demam Berdarah Dengue (DBD)
"Pasien mengeluh menggigil, lemas, batuk, demam tinggi, sesak napas, berkeringat, tidak enak badan, dahak, sakit dada, detak jantung cepat dan dahak berwarna karat",Pneumonia (Radang Paru)
"Badan terasa nyeri sendi disertai muntah, demam tinggi, kulit menguning, urine berwarna gelap, mual, hilang nafsu makan, sakit perut, mata menguning, gagal hati akut, koma, pendarahan lambung",Hepatitis E
Gejala yang dialami: itching serta lemas,Hepatitis B
"Pasien mengeluh itching, muntah, lemas, berat badan turun, demam tinggi, kulit menguning, urine berwarna gelap dan sakit perut",Penyakit Kuning
"Saya mengalami asam lambung naik, gangguan pencernaan, sakit kepala, penglihatan kabur, rasa lapar berlebihan, leher kaku, mudah marah, gangguan pengelihatan",Migrain
"Keluhan utama: lemas, kulit menguning, mual, hilang nafsu makan, mata menguning, riwayat keluarga",Hepatitis C
"Pasien mengeluh ruam kulit, menggigil, nyeri sendi, muntah, lemas, demam tinggi, sakit kepala, mual, hilang nafsu makan, sakit di belakang mata, sakit punggung, tidak enak badan dan nyeri otot",Demam Berdarah Dengue (DBD)
"Badan terasa itching disertai lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
Gejala yang dialami: rasa terbakar saat buang air kecil serta tidak nyaman di kandung kemih,Infeksi Saluran Kemih
"Dok, saya merasa bersin terus menerus dan mata berair",Alergi
Gejala yang dialami: sakit kepala serta lemah satu sisi tubuh,Kelumpuhan (Pendarahan Otak)
"Saya mengalami pengecilan otot, bercak di tenggorokan, demam tinggi",HIV/AIDS
"Dok, saya merasa lemas dan riwayat keluarga",Hepatitis C
Gejala yang dialami: lemas serta batuk,Pneumonia (Radang Paru)
"Keluhan utama: itching, lemas, lesu, kulit menguning, urine berwarna gelap, hilang nafsu makan, sakit perut, urine kuning pekat, mata menguning, tidak enak badan, menerima transfusi darah, menerima suntikan tidak steril",Hepatitis B
"Dok, saya merasa ruam kulit dan luka gores",Jerawat
